,SEG18M_cov,SEG18M_iou
0,0.05161525321543409,0.7463692426681519
1,0.04686240731785945,0.8683161735534668
2,0.04517372864281109,0.9055349230766296
3,0.03466891320116054,0.9200233817100525
4,0.056983770718232046,0.5347628593444824
5,0.08077797684674752,0.4577043354511261
6,0.09977518605292172,0.6623622179031372
7,0.07291522790055249,0.16332469880580902
8,0.46438938464718854,0.9364730715751648
9,0.43198301405733186,0.9342843294143677
10,0.06667817679558011,0.15562386810779572
11,0.3006216561284047,0.8080159425735474
12,0.05633663667315175,0.14438076317310333
13,0.16045453854571984,0.4031652808189392
14,0.05449370744163424,0.1288706362247467
15,0.37441062927246094,0.43980181217193604
16,0.15791702270507812,0.18248504400253296
17,0.15171241760253906,0.1667432188987732
18,0.04234886169433594,0.045553483068943024
19,0.04691477424973205,0.0821550041437149
20,0.25200116978609627,0.5500046014785767
21,0.11151234257770633,0.24838192760944366
22,0.24229612299465242,0.6095634698867798
