,SEG50_cov,SEG50_iou
0,0.05873316921221865,0.6616197228431702
1,0.0466319612346873,0.9235690832138062
2,0.04609551297549968,0.8461671471595764
3,0.03720633865248227,0.8989501595497131
4,0.09947772790055248,0.9273892045021057
5,0.11639074558985667,0.6603091359138489
6,0.11281611769570012,0.7505516409873962
7,0.3801687672651934,0.851996898651123
8,0.42245856877067256,0.921471118927002
9,0.4022123931918412,0.9676551222801208
10,0.4006042817679558,0.9332075119018555
11,0.33210344722762647,0.9142846465110779
12,0.3195734283803502,0.8190366625785828
13,0.375239390807393,0.9457049369812012
14,0.24400383025291827,0.5771052241325378
15,0.8357887268066406,0.9825693368911743
16,0.7810726165771484,0.9021794199943542
17,0.8441371917724609,0.9281543493270874
18,0.5962982177734375,0.6413548588752747
19,0.5815393053322615,0.9747283458709717
20,0.42678810160427805,0.9114158749580383
21,0.4527733118971061,0.9401038289070129
22,0.3532921122994652,0.8937654495239258
