,SEG101_cov,SEG101_iou
0,0.05986233922829582,0.6490433216094971
1,0.05434749758220503,0.7983701229095459
2,0.05188436895551257,0.8872807025909424
3,0.035832477030947774,0.9159581661224365
4,0.021341937154696133,0.21653638780117035
5,0.06116705140573318,0.3470956087112427
6,0.07395603638368246,0.4921185374259949
7,0.015044457872928177,0.03376457467675209
8,0.06012911728224917,0.13301987946033478
9,0.10763075385887541,0.26335757970809937
10,0.020502417127071824,0.047871027141809464
11,0.05189840710116732,0.14307114481925964
12,0.019550249270428015,0.05010348930954933
13,0.02028932089007782,0.05126715824007988
14,0.008103188837548639,0.019169587641954422
15,0.5106792449951172,0.6020113825798035
16,0.11689949035644531,0.13509713113307953
17,0.3454570770263672,0.37994450330734253
18,0.04324150085449219,0.046509481966495514
19,0.018160085075026797,0.03182463347911835
20,0.06417112299465241,0.1423283815383911
21,0.04410545618971061,0.09852338582277298
22,0.19942764037433156,0.5088391304016113
